sigma,img_idx,label,pred,abstain,radius
0.120000,0,7,7,0,0.384214
0.120000,50,6,6,0,0.384214
0.120000,100,6,6,0,0.384214
0.120000,150,9,9,0,0.384214
0.120000,200,3,3,0,0.384214
0.120000,250,4,4,0,0.384214
0.120000,300,4,4,0,0.384214
0.120000,350,1,1,0,0.384214
0.120000,400,2,2,0,0.384214
0.120000,450,3,3,0,0.384214
0.120000,500,3,3,0,0.384214
0.120000,550,7,7,0,0.384214
0.120000,600,6,6,0,0.384214
0.120000,650,6,6,0,0.384214
0.120000,700,1,1,0,0.384214
0.120000,750,0,0,0,0.384214
0.120000,800,8,8,0,0.384214
0.120000,850,1,1,0,0.384214
0.120000,900,1,1,0,0.287264
0.120000,950,7,7,0,0.384214
0.120000,1000,9,9,0,0.384214
0.120000,1050,2,2,0,0.384214
0.120000,1100,7,7,0,0.384214
0.120000,1150,3,3,0,0.384214
0.120000,1200,8,8,0,0.384214
0.120000,1250,6,6,0,0.384214
0.120000,1300,4,4,0,0.384214
0.120000,1350,1,1,0,0.384214
0.120000,1400,6,6,0,0.384214
0.120000,1450,6,6,0,0.384214
0.120000,1500,7,7,0,0.289185
0.120000,1550,5,5,0,0.384214
0.120000,1600,3,3,0,0.384214
0.120000,1650,0,0,0,0.384214
0.120000,1700,0,0,0,0.384214
0.120000,1750,7,7,0,0.384214
0.120000,1800,6,6,0,0.384214
0.120000,1850,8,8,0,0.384214
0.120000,1900,1,1,0,0.384214
0.120000,1950,7,7,0,0.384214
0.120000,2000,6,6,0,0.384214
0.120000,2050,8,8,0,0.384214
0.120000,2100,5,5,0,0.384214
0.120000,2150,6,6,0,0.384214
0.120000,2200,2,2,0,0.384214
0.120000,2250,9,9,0,0.384214
0.120000,2300,3,3,0,0.384214
0.120000,2350,2,2,0,0.384214
0.120000,2400,5,5,0,0.384214
0.120000,2450,3,3,0,0.384214
0.120000,2500,2,2,0,0.384214
0.120000,2550,8,8,0,0.384214
0.120000,2600,8,8,0,0.384214
0.120000,2650,8,8,0,0.384214
0.120000,2700,7,7,0,0.384214
0.120000,2750,6,6,0,0.384214
0.120000,2800,8,8,0,0.384214
0.120000,2850,5,5,0,0.384214
0.120000,2900,4,4,0,0.384214
0.120000,2950,1,1,0,0.384214
0.120000,3000,6,6,0,0.384214
0.120000,3050,1,1,0,0.384214
0.120000,3100,5,5,0,0.227873
0.120000,3150,3,3,0,0.384214
0.120000,3200,9,9,0,0.384214
0.120000,3250,2,2,0,0.384214
0.120000,3300,3,3,0,0.384214
0.120000,3350,6,6,0,0.384214
0.120000,3400,7,7,0,0.384214
0.120000,3450,0,0,0,0.384214
0.120000,3500,4,4,0,0.384214
0.120000,3550,6,6,0,0.173478
0.120000,3600,2,2,0,0.384214
0.120000,3650,0,0,0,0.384214
0.120000,3700,4,4,0,0.384214
0.120000,3750,5,5,0,0.384214
0.120000,3800,6,6,0,0.384214
0.120000,3850,9,9,0,0.353135
0.120000,3900,1,1,0,0.384214
0.120000,3950,9,9,0,0.384214
0.120000,4000,9,9,0,0.384214
0.120000,4050,1,1,0,0.384214
0.120000,4100,2,2,0,0.384214
0.120000,4150,0,0,0,0.384214
0.120000,4200,7,7,0,0.384214
0.120000,4250,2,2,0,0.384214
0.120000,4300,5,5,0,0.384214
0.120000,4350,2,2,0,0.384214
0.120000,4400,7,7,0,0.384214
0.120000,4450,1,1,0,0.384214
0.120000,4500,9,9,0,0.357068
0.120000,4550,9,9,0,0.384214
0.120000,4600,3,3,0,0.384214
0.120000,4650,0,0,0,0.384214
0.120000,4700,9,9,0,0.384214
0.120000,4750,8,8,0,0.384214
0.120000,4800,7,7,0,0.384214
0.120000,4850,8,8,0,0.384214
0.120000,4900,7,7,0,0.384214
0.120000,4950,2,2,0,0.384214
0.120000,5000,3,3,0,0.384214
0.120000,5050,9,9,0,0.384214
0.120000,5100,9,9,0,0.384214
0.120000,5150,3,3,0,0.384214
0.120000,5200,4,4,0,0.384214
0.120000,5250,2,2,0,0.384214
0.120000,5300,8,8,0,0.384214
0.120000,5350,1,1,0,0.384214
0.120000,5400,5,5,0,0.384214
0.120000,5450,0,0,0,0.077090
0.120000,5500,4,4,0,0.384214
0.120000,5550,1,1,0,0.384214
0.120000,5600,7,7,0,0.297046
0.120000,5650,8,8,0,0.384214
0.120000,5700,3,3,0,0.384214
0.120000,5750,0,0,0,0.384214
0.120000,5800,9,9,0,0.384214
0.120000,5850,3,3,0,0.384214
0.120000,5900,4,4,0,0.384214
0.120000,5950,8,8,0,0.384214
0.120000,6000,9,9,0,0.384214
0.120000,6050,7,7,0,0.384214
0.120000,6100,4,4,0,0.384214
0.120000,6150,8,8,0,0.384214
0.120000,6200,9,9,0,0.384214
0.120000,6250,0,0,0,0.384214
0.120000,6300,4,4,0,0.384214
0.120000,6350,6,6,0,0.384214
0.120000,6400,0,0,0,0.367094
0.120000,6450,8,8,0,0.384214
0.120000,6500,5,5,0,0.384214
0.120000,6550,6,6,0,0.384214
0.120000,6600,5,5,0,0.384214
0.120000,6650,9,9,0,0.384214
0.120000,6700,4,4,0,0.384214
0.120000,6750,0,0,0,0.384214
0.120000,6800,2,2,0,0.384214
0.120000,6850,8,8,0,0.384214
0.120000,6900,6,6,0,0.384214
0.120000,6950,3,3,0,0.384214
0.120000,7000,1,1,0,0.384214
0.120000,7050,6,6,0,0.384214
0.120000,7100,2,2,0,0.384214
0.120000,7150,1,1,0,0.384214
0.120000,7200,8,8,0,0.384214
0.120000,7250,3,3,0,0.384214
0.120000,7300,7,7,0,0.384214
0.120000,7350,3,3,0,0.384214
0.120000,7400,2,2,0,0.384214
0.120000,7450,8,8,0,0.384214
0.120000,7500,8,8,0,0.384214
0.120000,7550,4,4,0,0.384214
0.120000,7600,1,1,0,0.384214
0.120000,7650,7,7,0,0.384214
0.120000,7700,9,9,0,0.384214
0.120000,7750,3,3,0,0.384214
0.120000,7800,3,3,0,0.384214
0.120000,7850,5,5,0,0.384214
0.120000,7900,1,1,0,0.384214
0.120000,7950,7,7,0,0.384214
0.120000,8000,4,4,0,0.384214
0.120000,8050,3,3,0,0.384214
0.120000,8100,1,1,0,0.384214
